NameMix,FullName,Gender,Birth Year,Start Year,End Year,Race,Degree,Major,PreFed_clean,SaltFresh
Hermann N. Mangels,Hermann N. Mangels,1.0,1897.0,1956.0,1961.0,W,None/unknown,,Banking/Finance/Fed,
Preston Martin,Preston Martin,1.0,1923.0,1982.0,1986.0,W,PhD,Economics,Academic Economist,3.0
Robert P. Mayo,Robert P. Mayo,1.0,1916.0,1970.0,1981.0,W,Master's,Business,Banking/Finance/Fed,
Thomas B. McCabe,Thomas B. McCabe,1.0,1893.0,1948.0,1951.0,W,Bachelor's,,Business/Industry,
McDonough,,1.0,1934.0,-9999.0,9999.0,,None/unknown,Economics,Banking/Finance/Fed,
McTeer,,1.0,1943.0,-9999.0,9999.0,,PhD,Economics,Banking/Finance/Fed,3.0
William J. Mcdonough,William J. Mcdonough,1.0,1934.0,1993.0,2003.0,W,Master's,Economics,Banking/Finance/Fed,
John K. Mckee,John K. Mckee,1.0,1891.0,1936.0,1946.0,W,None/unknown,,Banking/Finance/Fed,
Buckner A. Mckinney,Buckner A. Mckinney,1.0,1872.0,1931.0,1939.0,W,None/unknown,,Banking/Finance/Fed,
Melzer,,1.0,1944.0,-9999.0,9999.0,,None/unknown,Business,Banking/Finance/Fed,
Thomas C. Melzer,Thomas C. Melzer,1.0,,1985.0,1998.0,W,Master's,Engineering/STEM,Banking/Finance/Fed,
Loretta Mester,Loretta Mester,0.0,1958.0,2014.0,2024.0,W,PhD,Economics,Professional Economist,1.0
Laurence H. Meyer,Laurence H. Meyer,1.0,1944.0,1996.0,2002.0,W,PhD,Economics,Professional Economist,1.0
Paul E. Miller,Paul E. Miller,1.0,1888.0,1954.0,1954.0,W,Master's,,Academic Economist,
G. William Miller,G. William Miller,1.0,1925.0,1978.0,1979.0,W,JD,Law,Law/Legal,
Cathy E. Minehan,Cathy E. Minehan,0.0,1947.0,1994.0,2007.0,W,Master's,Business,Banking/Finance/Fed,
Frederic S. Mishkin,Frederic S. Mishkin,1.0,1951.0,2006.0,2008.0,W,PhD,Economics,Academic Economist,1.0
George W. Mitchell,George W. Mitchell,1.0,1904.0,1961.0,1976.0,W,PhD,,Professional Economist,
Frank E. Morris,Frank E. Morris,1.0,1923.0,1968.0,1988.0,W,PhD,Economics,Business/Industry,1.0
Ralph W. Morrison,Ralph W. Morrison,1.0,1878.0,1936.0,1936.0,W,None/unknown,,Business/Industry,
Michael H. Moskow,Michael H. Moskow,1.0,1938.0,1994.0,2007.0,W,Master's,Economics,Academic Economist,
Mullins,,1.0,1946.0,-9999.0,9999.0,,PhD,Finance,Academic Economist,
Musalem,,1.0,,-9999.0,9999.0,,PhD,,,
Oscar Newton,Oscar Newton,1.0,1877.0,1935.0,1939.0,W,None/unknown,,Banking/Finance/Fed,
Edward L. Norton,Edward L. Norton,1.0,1892.0,1950.0,1952.0,W,PhD,Law,Business/Industry,
Mark W. Olson,Mark W. Olson,1.0,1943.0,2001.0,2006.0,W,Bachelor's,Economics,Banking/Finance/Fed,
William W. Paddock,William W. Paddock,1.0,1879.0,1942.0,1944.0,W,Bachelor's,Law,Military,
Robert S. Parker,Robert S. Parker,1.0,1884.0,1939.0,1941.0,W,None/unknown,Law,Law/Legal,
Robert T. Parry,Robert T. Parry,1.0,1939.0,1986.0,2004.0,W,PhD,Economics,Professional Economist,1.0
J. Charles Partee,J. Charles Partee,1.0,1927.0,1976.0,1986.0,W,Master's,Business,Banking/Finance/Fed,
Harold T. Patterson,Harold T. Patterson,1.0,1903.0,1965.0,1968.0,W,Master's,Law,Law/Legal,
John N. Peyton,John N. Peyton,1.0,1885.0,1936.0,1952.0,W,None/unknown,Law,Banking/Finance/Fed,
Susan M. Phillips,Susan M. Phillips,0.0,1944.0,1991.0,1998.0,W,PhD,Economics,Professional Economist,3.0
Sandra Pianalto,Sandra Pianalto,0.0,1954.0,2003.0,2014.0,W,Master's,Economics,Professional Economist,
Charles I. Plosser,Charles I. Plosser,1.0,1948.0,2006.0,2015.0,W,PhD,Engineering/STEM,Academic Economist,
William Poole,William Poole,1.0,1937.0,1998.0,2008.0,W,PhD,Economics,Academic Economist,2.0
Oliver S. Powell,Oliver S. Powell,1.0,1896.0,1950.0,1952.0,W,Bachelor's,Economics,Professional Economist,
Oliver S. Powell,Oliver S. Powell,1.0,1896.0,1952.0,1957.0,W,Bachelor's,Economics,Professional Economist,
Jerome H. Powell,Jerome H. Powell,1.0,1953.0,2012.0,9999.0,W,JD,Law,Law/Legal,
Randal K. Quarles,Randal K. Quarles,1.0,1957.0,2017.0,9999.0,W,JD,Law,Law/Legal,
